"","person_id","transcript"
"1",28508,"‘I deny it!’ said the March Hare.
"
"2",63713,"
"
"3",86208,"way, and the whole party swam to the shore.
"
"4",35267,"lessons in here? Why, there’s hardly room for YOU, and no room at all
"
"5",33856,"
"
"6",82799,"
"
"7",66493,"would be offended again.
"
"8",46263,"‘So he did, so he did,’ said the Gryphon, sighing in his turn; and both
"
"9",54263,"very glad that it was over at last: ‘and I do so like that curious song
"
"10",62764,"come to the end: then stop.’
"
"11",54206,"
"
"12",63126,"down on one knee. ‘I’m a poor man, your Majesty,’ he began.
"
"13",34615,"
"
"14",10007,"CHAPTER IV. The Rabbit Sends in a Little Bill
"
"15",96520,"         YOU.--Come,
"
"16",33355,"were nowhere to be found: all she could see, when she looked down, was
"
"17",41899,"‘Anything you like,’ said the Footman, and began whistling.
"
"18",84695,"and crept a little way out of the wood to listen.
"
"19",36487,"
"
"20",96956,"
"
"21",13759,"‘You couldn’t have wanted it much,’ said Alice; ‘living at the bottom of
"
"22",74158,"   ‘I speak severely to my boy,
"
"23",21408,"picking the daisies, when suddenly a White Rabbit with pink eyes ran
"
"24",57234,"‘Cheshire Puss,’ she began, rather timidly, as she did not at all know
"
"25",61749,"snappishly. ‘You’re enough to try the patience of an oyster!’
"
"26",98581,"     ‘How doth the little crocodile
"
"27",17543,"know.’
"
"28",22036,"First came ten soldiers carrying clubs; these were all shaped like
"
"29",18970,"     ‘How doth the little crocodile
"
"30",76489,"began picking them up again as quickly as she could, for the accident of
"
"31",95548,"
"
"32",56181,"‘Not a bit,’ said the Caterpillar.
"
"33",23260,"The Mock Turtle went on.
"
"34",85594,"‘Then you should say what you mean,’ the March Hare went on.
"
"35",69003,"‘I’VE been to a day-school, too,’ said Alice; ‘you needn’t be so proud
"
"36",78804,"for apples, yer honour!’
"
"37",51605,"dear, certainly: but now run in to your tea; it’s getting late.’ So
"
"38",54518,"
"
"39",73127,"beheaded, and that you weren’t to talk nonsense.
"
"40",17957,"
"
"41",51790,"their eyes and mouths so VERY wide, but she gained courage as she went
"
"42",73646,"First it marked out a race-course, in a sort of circle, [‘the exact
"
"43",90080,"CHAPTER III. A Caucus-Race and a Long Tale
"
"44",33793,"wood--(she considered him to be a footman because he was in livery:
"
"45",82421,"can’t think! And oh, I wish you could see her after the birds! Why,
"
"46",10914,"As soon as the jury had a little recovered from the shock of being
"
"47",34086,"
"
"48",34757,"real Mary Ann, and be turned out of the house before she had found the
"
"49",11059,"
"
"50",34722,"again, sitting on a branch of a tree.
"
"51",53269,"This question the Dodo could not answer without a great deal of thought,
"
"52",56580,"
"
"53",89123,"‘for I can’t understand it myself to begin with; and being so many
"
"54",50176,"
"
"55",48656,"‘That WAS a narrow escape!’ said Alice, a good deal frightened at the
"
"56",64769,"anxiously over his shoulder as he spoke, and then raised himself upon
"
"57",11161,"with such a puzzled expression that she could not help bursting out
"
"58",49234,"sure I don’t want to stay in here any longer!’
"
"59",50931,"‘We indeed!’ cried the Mouse, who was trembling down to the end of his
"
"60",34473,"
"
"61",16858,"Alice said nothing: she had never been so much contradicted in her life
"
"62",11470,"thought: still it had VERY long claws and a great many teeth, so she
"
"63",71632,"
"
"64",73315,"‘The first thing I’ve got to do,’ said Alice to herself, as she wandered
"
"65",93531,"take me for a dunce? Go on!’
"
"66",41334," Would not, could not, would not, could not, could not join the dance.
"
"67",20640,"myself about you: you must manage the best way you can;--but I must be
"
"68",28217,"And with that she began nursing her child again, singing a sort of
"
"69",33944,"
"
"70",88952,"themselves flat upon their faces. There was a sound of many footsteps,
"
"71",68352,"very little! Besides, SHE’S she, and I’m I, and--oh dear, how puzzling
"
"72",84318,"time.) ‘You’re nothing but a pack of cards!’
"
"73",30771,"
"
"74",82643,"
"
"75",68787,"
"
"76",67501,"themselves.”’
"
"77",69482,"‘Then it ought to be Number One,’ said Alice.
"
"78",47740,"a deal too flustered to tell you--all I know is, something comes at me
"
"79",49342,"
"
"80",97362,"
"
"81",18108,"‘ARE you to get in at all?’ said the Footman. ‘That’s the first
"
"82",44776,"King put on his spectacles and looked anxiously round, to make out who
"
"83",11062,"
"
"84",99106,"‘You are not attending!’ said the Mouse to Alice severely. ‘What are you
"
"85",93928,"
"
"86",56334,"and was just going to leave the room, when her eye fell upon a little
"
"87",76797,"drawing of a muchness?’
"
"88",62806,"
"
"89",91893,"mice in the air, I’m afraid, but you might catch a bat, and that’s very
"
"90",36669,"‘A fine day, your Majesty!’ the Duchess began in a low, weak voice.
"
"91",27485,"
"
"92",85272,"the Lizard in head downwards, and the poor little thing was waving its
"
